index,season,matchday,team1,team2
559,2223,18,Empoli,Sampdoria
560,2223,19,Fiorentina,Torino
561,2223,19,Verona,Lecce
562,2223,19,Salernitana,Napoli
563,2223,19,Juventus,Atalanta
564,2223,19,Monza,Sassuolo
565,2223,19,Sampdoria,Udinese
566,2223,19,Spezia,Roma
567,2223,19,Bologna,Cremonese
568,2223,19,Inter,Empoli
569,2223,19,Lazio,Milan
570,2223,20,Bologna,Spezia
571,2223,20,Lecce,Salernitana
572,2223,20,Atalanta,Sampdoria
573,2223,20,Cremonese,Inter
574,2223,20,Empoli,Torino
575,2223,20,Juventus,Monza
576,2223,20,Lazio,Fiorentina
577,2223,20,Milan,Sassuolo
578,2223,20,Napoli,Roma
579,2223,20,Udinese,Verona
580,2223,21,Cremonese,Lecce
581,2223,21,Roma,Empoli
582,2223,21,Sassuolo,Atalanta
583,2223,21,Fiorentina,Bologna
584,2223,21,Inter,Milan
585,2223,21,Spezia,Napoli
586,2223,21,Torino,Udinese
587,2223,21,Verona,Lazio
588,2223,21,Monza,Sampdoria
589,2223,21,Salernitana,Juventus
590,2223,22,Milan,Torino
591,2223,22,Empoli,Spezia
592,2223,22,Lazio,Atalanta
593,2223,22,Lecce,Roma
594,2223,22,Bologna,Monza
595,2223,22,Juventus,Fiorentina
596,2223,22,Napoli,Cremonese
597,2223,22,Udinese,Sassuolo
598,2223,22,Verona,Salernitana
599,2223,22,Sampdoria,Inter
600,2223,23,Sassuolo,Napoli
601,2223,23,Inter,Udinese
602,2223,23,Monza,Milan
603,2223,23,Sampdoria,Bologna
604,2223,23,Atalanta,Lecce
605,2223,23,Fiorentina,Empoli
606,2223,23,Roma,Verona
607,2223,23,Salernitana,Lazio
608,2223,23,Spezia,Juventus
609,2223,23,Torino,Cremonese
610,2223,24,Empoli,Napoli
611,2223,24,Lecce,Sassuolo
612,2223,24,Bologna,Inter
613,2223,24,Milan,Atalanta
614,2223,24,Salernitana,Monza
615,2223,24,Udinese,Spezia
616,2223,24,Verona,Fiorentina
617,2223,24,Lazio,Sampdoria
618,2223,24,Cremonese,Roma
619,2223,24,Juventus,Torino
620,2223,25,Napoli,Lazio
621,2223,25,Atalanta,Udinese
622,2223,25,Fiorentina,Milan
623,2223,25,Monza,Empoli
624,2223,25,Inter,Lecce
625,2223,25,Roma,Juventus
626,2223,25,Sampdoria,Salernitana
627,2223,25,Spezia,Verona
628,2223,25,Sassuolo,Cremonese
629,2223,25,Torino,Bologna
630,2223,26,Spezia,Inter
631,2223,26,Bologna,Lazio
632,2223,26,Empoli,Udinese
633,2223,26,Napoli,Atalanta
634,2223,26,Cremonese,Fiorentina
635,2223,26,Verona,Monza
636,2223,26,Juventus,Sampdoria
637,2223,26,Lecce,Torino
638,2223,26,Roma,Sassuolo
639,2223,26,Milan,Salernitana
640,2223,27,Atalanta,Empoli
641,2223,27,Sassuolo,Spezia
642,2223,27,Monza,Cremonese
643,2223,27,Salernitana,Bologna
644,2223,27,Udinese,Milan
645,2223,27,Fiorentina,Lecce
646,2223,27,Inter,Juventus
647,2223,27,Lazio,Roma
648,2223,27,Sampdoria,Verona
649,2223,27,Torino,Napoli
650,2223,28,Cremonese,Atalanta
651,2223,28,Inter,Fiorentina
652,2223,28,Juventus,Verona
653,2223,28,Bologna,Udinese
654,2223,28,Monza,Lazio
655,2223,28,Napoli,Milan
656,2223,28,Roma,Sampdoria
657,2223,28,Spezia,Salernitana
658,2223,28,Empoli,Lecce
659,2223,28,Sassuolo,Torino
660,2223,29,Lecce,Napoli
661,2223,29,Milan,Empoli
662,2223,29,Salernitana,Inter
663,2223,29,Atalanta,Bologna
664,2223,29,Fiorentina,Spezia
665,2223,29,Verona,Sassuolo
666,2223,29,Lazio,Juventus
667,2223,29,Sampdoria,Cremonese
668,2223,29,Torino,Roma
669,2223,29,Udinese,Monza
670,2223,30,Cremonese,Empoli
671,2223,30,Spezia,Lazio
672,2223,30,Bologna,Milan
673,2223,30,Inter,Monza
674,2223,30,Napoli,Verona
675,2223,30,Lecce,Sampdoria
676,2223,30,Roma,Udinese
677,2223,30,Sassuolo,Juventus
678,2223,30,Torino,Salernitana
679,2223,30,Fiorentina,Atalanta
680,2223,31,Verona,Bologna
681,2223,31,Lazio,Torino
682,2223,31,Salernitana,Sassuolo
683,2223,31,Sampdoria,Spezia
684,2223,31,Empoli,Inter
685,2223,31,Juventus,Napoli
686,2223,31,Milan,Lecce
687,2223,31,Monza,Fiorentina
688,2223,31,Udinese,Cremonese
689,2223,31,Atalanta,Roma
690,2223,32,Lecce,Udinese
691,2223,32,Spezia,Monza
692,2223,32,Roma,Milan
693,2223,32,Torino,Atalanta
694,2223,32,Bologna,Juventus
695,2223,32,Cremonese,Verona
696,2223,32,Fiorentina,Sampdoria
697,2223,32,Inter,Lazio
698,2223,32,Napoli,Salernitana
699,2223,32,Sassuolo,Empoli
700,2223,33,Atalanta,Spezia
701,2223,33,Verona,Inter
702,2223,33,Juventus,Lecce
703,2223,33,Lazio,Sassuolo
704,2223,33,Milan,Cremonese
705,2223,33,Monza,Roma
706,2223,33,Salernitana,Fiorentina
707,2223,33,Sampdoria,Torino
708,2223,33,Empoli,Bologna
709,2223,33,Udinese,Napoli
710,2223,34,Cremonese,Spezia
711,2223,34,Milan,Lazio
