league,season,team,player,nationality,position,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk
ITA-Serie A,2425,Atalanta,Marco Carnesecchi,ITA,GK,24,2000,34,34,3060,34,1.0,129,97,75.2,19,7,8,13,38.2,2,2,0,0
ITA-Serie A,2425,Atalanta,Rui Patrício,POR,GK,36,1988,3,3,270,3,1.0,14,11,78.6,2,1,0,1,33.3,0,0,0,0
ITA-Serie A,2425,Bologna,Federico Ravaglia,ITA,GK,24,1999,12,11,1056,14,1.19,24,10,45.8,5,2,4,4,36.4,1,1,0,0
ITA-Serie A,2425,Bologna,Łukasz Skorupski,POL,GK,33,1991,27,27,2364,33,1.26,82,50,61.0,11,12,4,8,29.6,2,1,1,0
ITA-Serie A,2425,Cagliari,Alen Sherri,ALB,GK,26,1997,7,7,621,11,1.59,31,20,64.5,1,2,4,1,14.3,0,0,0,0
ITA-Serie A,2425,Cagliari,Elia Caprile,ITA,GK,22,2001,18,18,1620,22,1.22,66,44,68.2,5,4,9,5,27.8,1,1,0,0
ITA-Serie A,2425,Cagliari,Giuseppe Ciocci,ITA,GK,22,2002,1,0,9,0,0.0,0,0,,0,0,0,0,,0,0,0,0
ITA-Serie A,2425,Cagliari,Simone Scuffet,ITA,GK,28,1996,13,13,1170,23,1.77,56,33,67.9,3,3,7,1,7.7,5,5,0,0
ITA-Serie A,2425,Como,Emil Audero,IDN,GK,27,1997,8,8,720,18,2.25,34,16,58.8,2,2,4,0,0.0,4,4,0,0
ITA-Serie A,2425,Como,Jean Butez,FRA,GK,29,1995,19,18,1666,20,1.08,68,48,73.5,8,4,6,5,27.8,2,2,0,0
ITA-Serie A,2425,Como,Pepe Reina,ESP,GK,41,1982,12,12,1034,14,1.22,41,27,68.3,3,4,5,2,16.7,1,1,0,0
ITA-Serie A,2425,Empoli,Devis Vásquez,COL,GK,26,1998,32,32,2880,45,1.41,125,79,64.8,6,12,14,6,18.8,3,1,1,1
ITA-Serie A,2425,Empoli,Jacopo Seghetti,ITA,GK,19,2005,1,1,90,3,3.0,6,3,50.0,0,0,1,0,0.0,0,0,0,0
ITA-Serie A,2425,Empoli,Marco Silvestri,ITA,GK,33,1991,5,5,450,11,2.2,27,17,59.3,0,1,4,0,0.0,0,0,0,0
ITA-Serie A,2425,Fiorentina,David de Gea,ESP,GK,33,1990,35,35,3150,38,1.09,135,96,72.6,19,5,11,11,31.4,3,1,2,0
ITA-Serie A,2425,Fiorentina,Pietro Terracciano,ITA,GK,34,1990,3,3,270,3,1.0,13,10,76.9,0,3,0,1,33.3,0,0,0,0
ITA-Serie A,2425,Genoa,Benjamin Siegrist,SUI,GK,32,1992,2,2,152,2,1.18,12,10,83.3,1,1,0,0,0.0,0,0,0,0
