league,season,team,player,nationality,position,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles,dribbles_completed,dribbles_completed_pct,dribbles_tackled,dribbles_tackled_pct,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
ITA-Serie A,2122,Cagliari,Damir Ceter,COL,FW,23,1997,0.1,2,0,0,1,1,0,2,0,0,,0,,2,42,29,1,1,0,0,0,2,0
ITA-Serie A,2122,Cagliari,Daniele Baselli,ITA,MF,29,1992,3.2,189,5,40,89,62,2,189,9,4,44.4,5,55.6,103,502,191,4,6,0,5,8,107,5
ITA-Serie A,2122,Cagliari,Diego Farias,BRA,"MF,FW",31,1990,0.7,38,0,2,15,21,1,38,1,1,100.0,0,0.0,25,120,56,2,0,1,1,0,28,7
ITA-Serie A,2122,Cagliari,Diego Godín,URU,DF,35,1986,9.1,548,87,315,207,29,14,548,11,10,90.9,1,9.1,294,1206,538,4,2,1,4,0,334,1
ITA-Serie A,2122,Cagliari,Edoardo Goldaniga,ITA,DF,27,1993,10.4,587,51,257,265,68,8,587,6,3,50.0,3,50.0,272,1234,521,3,6,0,7,0,279,12
ITA-Serie A,2122,Cagliari,Gabriele Zappa,ITA,DF,21,1999,12.7,744,46,272,321,161,11,744,26,11,42.3,15,57.7,414,2151,1086,22,23,2,18,10,441,37
ITA-Serie A,2122,Cagliari,Gastón Pereiro,URU,"FW,MF",26,1995,10.8,474,9,53,197,226,30,474,19,10,52.6,9,47.4,277,1707,933,32,23,7,14,17,331,46
ITA-Serie A,2122,Cagliari,Giorgio Altare,ITA,DF,22,1998,16.3,1000,96,426,456,129,25,1000,10,8,80.0,2,20.0,461,1852,925,13,15,0,6,3,479,10
ITA-Serie A,2122,Cagliari,Giovanni Simeone,ARG,FW,26,1995,0.1,5,0,0,3,2,2,5,0,0,,0,,4,26,3,0,0,0,0,0,4,2
ITA-Serie A,2122,Cagliari,João Pedro,ITA,FW,29,1992,36.9,1093,22,83,507,512,148,1089,72,34,47.2,38,52.8,653,3217,1134,38,27,20,108,36,785,198
ITA-Serie A,2122,Cagliari,Keita Baldé,SEN,FW,26,1995,13.7,411,6,23,183,209,51,411,18,6,33.3,12,66.7,234,977,342,14,12,4,49,10,305,73
ITA-Serie A,2122,Cagliari,Kevin Strootman,NED,MF,31,1990,7.1,428,25,121,265,47,3,428,5,4,80.0,1,20.0,228,797,424,6,5,0,6,2,276,6
ITA-Serie A,2122,Cagliari,Leonardo Pavoletti,ITA,FW,32,1988,16.9,667,19,64,320,287,89,667,10,6,60.0,4,40.0,301,682,176,2,5,2,39,13,516,82
ITA-Serie A,2122,Cagliari,Luca Ceppitelli,ITA,DF,31,1989,16.1,954,120,451,460,46,14,954,2,2,100.0,0,0.0,482,1892,1087,3,6,0,8,3,570,5
ITA-Serie A,2122,Cagliari,Luca Gagliano,ITA,"FW,DF",21,2000,0.1,9,1,2,4,3,1,9,1,0,0.0,1,100.0,5,16,3,0,0,0,0,0,5,1
ITA-Serie A,2122,Cagliari,Marko Rog,CRO,MF,26,1995,3.5,191,4,25,89,79,4,191,9,4,44.4,5,55.6,110,553,275,7,10,1,6,7,125,10
ITA-Serie A,2122,Cagliari,Martín Cáceres,URU,DF,34,1987,9.2,541,34,180,285,82,8,541,1,1,100.0,0,0.0,270,1273,610,8,6,0,7,2,284,7
ITA-Serie A,2122,Cagliari,Matteo Lovato,ITA,DF,21,2000,13.8,729,110,418,305,15,6,729,4,3,75.0,1,25.0,319,1425,790,3,4,0,7,5,332,2
ITA-Serie A,2122,Cagliari,Nahitan Nández,URU,"MF,DF",25,1995,16.9,829,17,127,381,338,43,829,45,27,60.0,18,40.0,510,3646,1853,60,45,22,37,26,588,104
ITA-Serie A,2122,Cagliari,Paolo Faragò,ITA,MF,28,1993,0.2,15,0,5,5,7,3,15,1,1,100.0,0,0.0,7,54,38,1,1,0,1,0,7,2
ITA-Serie A,2122,Cagliari,Raoul Bellanova,ITA,"DF,FW",21,2000,27.7,1228,68,328,496,424,53,1228,73,39,53.4,34,46.6,720,4934,2553,81,38,10,42,22,755,146
ITA-Serie A,2122,Cagliari,Răzvan Marin,ROU,MF,25,1996,31.3,1557,34,239,834,508,26,1557,43,22,51.2,21,48.8,899,5167,2423,49,51,5,53,32,966,68
ITA-Serie A,2122,Cagliari,Sebastian Walukiewicz,POL,DF,21,2000,3.4,213,23,120,86,7,1,213,8,6,75.0,2,25.0,143,757,416,4,2,0,4,0,147,2
ITA-Serie A,2122,Empoli,Andrea La Mantia,ITA,"FW,MF",30,1991,5.4,158,6,14,64,80,31,158,0,0,,0,,74,200,51,3,2,2,12,7,112,30
ITA-Serie A,2122,Empoli,Andrea Pinamonti,ITA,FW,22,1999,31.9,945,28,59,357,534,164,941,40,17,42.5,23,57.5,557,2531,757,36,21,19,71,47,741,233
ITA-Serie A,2122,Empoli,Ardian Ismajli,ALB,DF,24,1996,14.1,894,149,487,387,26,9,894,3,1,33.3,2,66.7,470,2876,1912,18,7,0,5,0,531,3
ITA-Serie A,2122,Empoli,Fabiano Parisi,ITA,DF,20,2000,16.4,1040,79,381,424,263,17,1040,55,29,52.7,26,47.3,589,3860,2116,58,41,6,42,18,519,49
ITA-Serie A,2122,Empoli,Federico Di Francesco,ITA,"FW,MF",27,1994,15.2,550,8,49,197,307,68,550,35,13,37.1,22,62.9,348,1830,792,27,14,14,39,31,400,126
ITA-Serie A,2122,Empoli,Filippo Bandinelli,ITA,MF,26,1995,21.7,976,54,213,423,354,43,976,39,17,43.6,22,56.4,564,3152,1755,57,42,10,40,25,627,101
ITA-Serie A,2122,Empoli,Giovanni Crociata,ITA,FW,23,1997,0.2,11,0,0,5,6,2,11,0,0,,0,,7,47,25,0,0,0,0,1,9,1
ITA-Serie A,2122,Empoli,Guglielmo Vicario,ITA,GK,24,1996,38.0,1455,1298,1451,5,0,0,1455,0,0,,0,,818,4160,2888,0,0,0,1,0,657,0
