league,season,team,player,nationality,position,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors
ITA-Serie A,2122,Genoa,Caleb Ekuban,GHA,"FW,MF",27,1994,19.1,19,12,2,12,5,7,23,30.4,16,19,5,14,9,6,0
ITA-Serie A,2122,Genoa,Davide Biraschi,ITA,DF,27,1994,10.3,31,16,19,9,3,17,24,70.8,7,16,9,7,16,26,0
ITA-Serie A,2122,Genoa,Domenico Criscito,ITA,DF,34,1986,18.0,37,21,19,14,4,16,25,64.0,9,22,12,10,39,57,0
ITA-Serie A,2122,Genoa,Felipe Caicedo,ECU,FW,32,1988,3.2,3,3,0,2,1,0,1,0.0,1,1,0,1,0,4,0
ITA-Serie A,2122,Genoa,Filippo Melegoni,ITA,"MF,FW",22,1999,10.9,20,12,5,8,7,8,16,50.0,8,10,1,9,11,8,1
ITA-Serie A,2122,Genoa,Flavio Junior Bianchi,ITA,"FW,MF",21,2000,3.5,2,2,1,0,1,0,2,0.0,2,0,0,0,0,0,0
ITA-Serie A,2122,Genoa,Francesco Cassata,ITA,MF,24,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
ITA-Serie A,2122,Genoa,Goran Pandev,MKD,"FW,MF",38,1983,9.4,2,0,1,0,1,0,9,0.0,9,3,1,2,2,0,0
ITA-Serie A,2122,Genoa,Hernani,BRA,"MF,FW",27,1994,7.6,20,10,8,9,3,13,32,40.6,19,17,4,13,13,5,1
ITA-Serie A,2122,Genoa,Johan Vásquez,MEX,DF,22,1998,25.3,79,46,44,32,3,48,75,64.0,27,32,10,22,42,85,0
ITA-Serie A,2122,Genoa,Kelvin Yeboah,ITA,"FW,MF",21,2000,9.4,14,7,5,7,2,9,19,47.4,10,22,1,21,1,7,0
