league,season,team,player,nationality,position,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
ITA-Serie A,2122,Cagliari,Keita Baldé,SEN,FW,26,1995,13.7,187,260,71.9,2522,464,106,128,82.8,51,74,68.9,10,13,76.9,1,0.6,0.4,10,14,6,0,22
ITA-Serie A,2122,Cagliari,Kevin Strootman,NED,MF,31,1990,7.1,297,368,80.7,5406,1706,131,154,85.1,127,141,90.1,36,59,61.0,0,0.2,-0.2,3,36,1,1,38
ITA-Serie A,2122,Cagliari,Leonardo Pavoletti,ITA,FW,32,1988,16.9,313,487,64.3,3952,668,206,293,70.3,70,123,56.9,12,18,66.7,1,1.1,-0.1,16,20,5,0,25
ITA-Serie A,2122,Cagliari,Luca Ceppitelli,ITA,DF,31,1989,16.1,671,802,83.7,12644,4481,259,288,89.9,322,359,89.7,76,124,61.3,1,0.3,0.7,2,36,4,2,35
ITA-Serie A,2122,Cagliari,Luca Gagliano,ITA,"FW,DF",21,2000,0.1,3,6,50.0,51,5,1,1,100.0,2,4,50.0,0,0,,0,0.0,0.0,0,0,0,0,0
ITA-Serie A,2122,Cagliari,Marko Rog,CRO,MF,26,1995,3.5,122,152,80.3,1663,357,71,81,87.7,36,47,76.6,6,9,66.7,1,0.1,0.9,4,13,1,0,14
ITA-Serie A,2122,Cagliari,Martín Cáceres,URU,DF,34,1987,9.2,311,452,68.8,6204,2385,121,141,85.8,136,191,71.2,47,96,49.0,1,0.7,0.3,5,29,3,0,34
ITA-Serie A,2122,Cagliari,Matteo Lovato,ITA,DF,21,2000,13.8,488,592,82.4,10110,4267,139,159,87.4,268,298,89.9,69,111,62.2,0,0.3,-0.3,4,21,2,0,21
ITA-Serie A,2122,Cagliari,Nahitan Nández,URU,"MF,DF",25,1995,16.9,453,648,69.9,7767,2213,222,276,80.4,167,226,73.9,48,84,57.1,2,2.7,-0.7,22,44,26,15,64
ITA-Serie A,2122,Cagliari,Paolo Faragò,ITA,MF,28,1993,0.2,6,8,75.0,78,3,4,5,80.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,1
ITA-Serie A,2122,Cagliari,Raoul Bellanova,ITA,"DF,FW",21,2000,27.7,667,933,71.5,11441,2944,335,407,82.3,241,333,72.4,74,127,58.3,2,3.5,-1.5,32,40,27,21,46
ITA-Serie A,2122,Cagliari,Răzvan Marin,ROU,MF,25,1996,31.3,997,1303,76.5,18286,5962,440,503,87.5,371,435,85.3,156,285,54.7,5,6.4,-1.4,68,111,31,6,142
ITA-Serie A,2122,Cagliari,Sebastian Walukiewicz,POL,DF,21,2000,3.4,152,171,88.9,2967,1010,49,52,94.2,79,86,91.9,20,27,74.1,0,0.0,0.0,1,11,1,0,13
ITA-Serie A,2122,Empoli,Andrea La Mantia,ITA,"FW,MF",30,1991,5.4,63,105,60.0,763,163,47,62,75.8,12,27,44.4,2,4,50.0,0,0.5,-0.5,8,5,1,0,7
ITA-Serie A,2122,Empoli,Andrea Pinamonti,ITA,FW,22,1999,31.9,381,636,59.9,4696,1047,241,348,69.3,92,157,58.6,11,24,45.8,2,2.9,-0.9,29,25,21,3,51
ITA-Serie A,2122,Empoli,Ardian Ismajli,ALB,DF,24,1996,14.1,616,725,85.0,11941,4691,201,222,90.5,344,384,89.6,64,99,64.6,0,0.1,-0.1,3,47,2,0,51
ITA-Serie A,2122,Empoli,Fabiano Parisi,ITA,DF,20,2000,16.4,585,777,75.3,9644,4062,292,323,90.4,234,311,75.2,46,99,46.5,1,0.3,0.7,9,58,14,1,74
ITA-Serie A,2122,Empoli,Federico Di Francesco,ITA,"FW,MF",27,1994,15.2,249,386,64.5,3563,1159,139,174,79.9,62,104,59.6,22,50,44.0,0,1.0,-1.0,14,24,15,2,45
ITA-Serie A,2122,Empoli,Filippo Bandinelli,ITA,MF,26,1995,21.7,537,733,73.3,8769,3104,273,315,86.7,197,256,77.0,46,96,47.9,3,3.4,-0.4,32,60,41,13,104
ITA-Serie A,2122,Empoli,Giovanni Crociata,ITA,FW,23,1997,0.2,7,9,77.8,91,18,3,3,100.0,3,4,75.0,0,0,,0,0.0,0.0,0,1,1,0,1
ITA-Serie A,2122,Empoli,Guglielmo Vicario,ITA,GK,24,1996,38.0,1042,1325,78.6,25736,19334,241,241,100.0,550,556,98.9,247,522,47.3,0,0.0,0.0,1,6,0,0,0
ITA-Serie A,2122,Empoli,Kristjan Asllani,ALB,MF,19,2002,15.0,638,779,81.9,12159,3636,251,279,90.0,290,319,90.9,85,158,53.8,1,0.9,0.1,7,65,4,0,62
ITA-Serie A,2122,Empoli,Leo Štulac,SVN,MF,26,1994,9.3,379,483,78.5,6640,2384,156,167,93.4,172,202,85.1,34,76,44.7,2,0.4,1.6,10,36,5,0,43
ITA-Serie A,2122,Empoli,Leonardo Mancuso,ITA,FW,29,1992,4.7,51,77,66.2,806,180,32,42,76.2,11,21,52.4,7,11,63.6,0,0.3,-0.3,3,1,5,1,5
ITA-Serie A,2122,Empoli,Liam Henderson,SCO,MF,25,1996,22.4,592,856,69.2,9237,3184,305,363,84.0,216,302,71.5,40,97,41.2,3,3.0,0.0,39,61,28,9,100
ITA-Serie A,2122,Empoli,Liberato Cacace,NZL,DF,20,2000,5.2,193,234,82.5,3202,1087,91,100,91.0,81,93,87.1,15,27,55.6,0,0.0,0.0,1,14,0,0,12
ITA-Serie A,2122,Empoli,Lorenzo Tonelli,ITA,DF,31,1990,9.7,463,560,82.7,9035,4197,161,179,89.9,237,263,90.1,58,99,58.6,0,0.3,-0.3,6,40,5,1,43
ITA-Serie A,2122,Empoli,Marco Benassi,ITA,MF,26,1994,4.2,117,174,67.2,1907,598,57,76,75.0,49,64,76.6,7,15,46.7,0,0.5,-0.5,4,14,5,0,23
